
NO;ASPEK;KOMPONEN ASPEK;NAMA INDIKATOR;DESKRIPSI INDIKATOR;Pembilang;Penyebut;DEFAULT_BOBOT
59;AMANAH;PENGELOLAAN SUMBER DAYA INSTITUSI;Rasio revenue prodi S1 / revenue total prodi;Jumlah pemasukan dana dalam bentuk UKT, SPI dan SPP dari mahasiswa S1/D4 dalam setahun (2 semester). Nilai didapat dari dir.RenBangJumlah Mahasiswa S1 atau D4 adalah yang teregistrasi pada sistem integra akademik pada tahun perhitungan;Jumlah Revenue dari Mahasiswa (UKT, SPI, SPP);Jumlah Mahasiswa S1 atau D4;5
60;AMANAH;PENGELOLAAN SUMBER DAYA INSTITUSI;Tingkat Maturitas Penyelenggaraan Sistem Pengendalian Intern Pemerintah (SPIP);"Nilai index maturitas SPIP yang diberikan oleh Badan Pengawas Keuangan dan Pembangunan (BPKP).
";Tingkat Maturitas Penyelenggaraan Sistem Pengendalian Intern Pemerintah (SPIP);-;5
61;AMANAH;PENGELOLAAN SUMBER DAYA INSTITUSI;Jumlah kelas mata kuliah/praktikum yang dikelola atau dilayani oleh Laboratorium;Jumlah Mata kuliah/praktikum yang dilayani oleh laboratorium;Jumlah kelas mata kuliah/praktikum yang dikelola atau dilayani oleh Laboratorium;-;4
62;AMANAH;PENGELOLAAN SUMBER DAYA INSTITUSI;Jumlah Mahasiswa yang terlibat dalam penelitian Dosen;Jumlah Mahasiswa yang terlibat dalam penelitian Dosen;Jumlah Mahasiswa yang terlibat dalam penelitian Dosen;-;3
63;AMANAH;PENGELOLAAN SUMBER DAYA INSTITUSI;Rasio Jumlah Prodi Baru / Jumlah Departemen;Jumlah Prodi Baru dibagi Jumlah Departemen;Jumlah Prodi Baru;Jumlah Departemen;3
64;AMANAH;PENGELOLAAN SUMBER DAYA MANUSIA;Rasio jumlah dosen yang mengalami kenaikan jabatan fungsional / jumlah dosen (diluar gol IV-E);"Jumlah dosen yang mengalami kenaikan jabatan fungsional dalam tahun berjalan perhitungan
Jumlah Dosen adalah dosen keseluruhan di departemennya termasuk yang sedang Tugas Belajar, Ijin Belajar, Menjabat di tempat lain dll (Selain Golongan IV-E).";jumlah dosen yang mengalami kenaikan jabatan fungsional;jumlah dosen (diluar gol IV-E);7
65;AMANAH;PENGELOLAAN SUMBER DAYA MANUSIA;Rasio Jumlah Dosen yang Mulai Mengikuti Pendidikan S3 Pada Tahun Berjalan / Jumlah Dosen Bergelar S2 non TB+IB;"Jumlah dosen yang mulai tugas belajar S3 pada tahun berjalan

Jumlah Dosen bergelar S2 Aktif
";Jumlah Dosen yang Mulai Mengikuti Pendidikan S3 Pada Tahun Berjalan;Jumlah Dosen Bergelar S2 non TB+IB;7
66;AMANAH;PENGELOLAAN SUMBER DAYA MANUSIA;Rasio Jumlah Dosen dalam Jabatan Lektor Kepala / Jumlah Dosen;"Jumlah dosen dengan jabatan Lektor Kepala dan tercatat dalam sistem kepegawaian
Jumlah Dosen adalah dosen keseluruhan di departemennya termasuk yang sedang Tugas Belajar, Ijin Belajar, Menjabat di tempat lain dll.";Jumlah Dosen dalam Jabatan Lektor Kepala;Jumlah Dosen;6
67;AMANAH;PENGELOLAAN SUMBER DAYA MANUSIA;Rasio Jumlah Dosen dalam Jabatan Profesor / Jumlah Dosen;"Jumlah dosen dengan jabatan Guru Besar / profesor dan tercatat dalam sistem kepegawaian
Jumlah Dosen adalah dosen keseluruhan di departemennya termasuk yang sedang Tugas Belajar, Ijin Belajar, Menjabat di tempat lain dll.";Jumlah Dosen dalam Jabatan Profesor;Jumlah Dosen;6
68;AMANAH;PENGELOLAAN SUMBER DAYA MANUSIA;Rasio dosen yang memiliki pengalaman bekerja di industri atau lembaga profesi minimal 1 tahun dan/atau bekerja di luar negeri minimal 1 tahun / Jumlah Dosen;"Jumlah dosen yang memiliki pengalaman bekerja di industri / lembaga profesi / bekerja di luar negeri minimal 1 tahun, termasuk postdoc selama minimal 1 tahun
Jumlah Dosen adalah dosen keseluruhan di departemennya termasuk yang sedang Tugas Belajar, Ijin Belajar, Menjabat di tempat lain dll.
";Jumlah dosen yang memiliki pengalaman bekerja di industri atau lembaga profesi minimal 1 tahun dan/atau bekerja di luar negeri minimal 1 tahun;Jumlah Dosen;5
69;AMANAH;PENGELOLAAN SUMBER DAYA MANUSIA;Rasio Jumlah Dosen bergelar S3 / Jumlah Dosen;"Jumlah dosen bergelar S3 dan tercatat dalam sistem kepegawaian

Jumlah Dosen adalah dosen keseluruhan di departemennya termasuk yang sedang Tugas Belajar, Ijin Belajar atau Menjabat di tempat lain dll.
";Jumlah Dosen bergelar S3;Jumlah Dosen;5
70;AMANAH;PENGELOLAAN SUMBER DAYA MANUSIA;Rasio jumlah dosen PNS dan NON-PNS yang mendapatkan jabatan fungsional pertama / jumlah dosen PNS dan NON-PNS yang belum punya jabatan fungsional;Jumlah dosen PNS dan non PNS yang mendapatkan Jabatan fungsional pertama pada tahun berjalan kurang dari 1 tahun sejak pengangkatan penuhMisal jika pengangkatan dari CPNS menjadi PNS tanggal 31 Des 2019, maka dalam kurun waktu 1 tahun telah mendapatkan jabatan fungsional pertama;jumlah dosen PNS dan NON-PNS yang mendapatkan jabatan fungsional pertama;jumlah dosen PNS dan NON-PNS yang belum punya jabatan fungsional;4
71;AMANAH;PENGELOLAAN SUMBER DAYA MANUSIA;Rasio Jumlah Dosen yang Mengikuti Pelatihan atau Workshop / Jumlah Dosen;"Jumlah dosen yang mengikuti pelatihan / workshop untuk meningkatkan kemampuan baik dalam hal profesionalisme atau penelitian, baik di dalam negeri atau di luar negeri dan mendapat sertifikat peserta pelatihan/workshop. 
Jumlah Dosen adalah dosen keseluruhan di departemennya termasuk yang sedang Tugas Belajar, Ijin Belajar, Menjabat di tempat lain dll.";Jumlah Dosen yang Mengikuti Pelatihan atau Workshop;Jumlah Dosen;4
72;AMANAH;PENGELOLAAN SUMBER DAYA MANUSIA;Rasio Jumlah Tenaga Kependidikan yang Mengikuti Pelatihan atau Workshop / Jumlah Tenaga Kependidikan;"Jumlah tendik yang mengikuti pelatihan/workshop dalam rangka meningkatkan profesionalisme baik di dalam negeri atau di luar negeri dan mendapat sertifikat peserta pelatihan/workshop.
";Jumlah Tenaga Kependidikan yang Mengikuti Pelatihan atau Workshop;Jumlah Tenaga Kependidikan;4
73;AMANAH;PENGELOLAAN SUMBER DAYA MANUSIA;Rata-rata waktu dosen mendapatkan jabatan fungsional pertama;"rata-rata waktu dosen mendapatkan jabatan fungsional pertama Jabatan fungsional pertama sejak pengangkatan penuh
";Rata-rata waktu dosen mendapatkan jabatan fungsional pertama;-;4
74;AMANAH;PENGELOLAAN SUMBER DAYA MANUSIA;Rasio Jumlah Dosen / Jumlah Mahasiswa;"Jumlah Dosen adalah dosen keseluruhan di departemennya termasuk yang sedang Tugas Belajar, Ijin Belajar, Menjabat di tempat lain dll.
Jumlah Mahasiswa adalah yang teregistrasi pada sistem integra akademik pada tahun perhitungan
";Jumlah Dosen;Jumlah Mahasiswa;3
75;SUMBANGSIH ;KONTRIBUSI PADA LINGKUNGAN;Terlaksananya Indeks Kualitas Lingkungan dan K3L lebih dari 2;Terlaksananya Indeks Kualitas Lingkungan (IKL) > 2 dan standar penerapan Kesehatan Keselamatan Kerja dan Lingkungan (K3L) IKL disusun berdasar indikator pemeringkatan UI Greenmetric dengan indikator Penataan dan Infrastruktur, Energi dan Perubahan Iklim, Limbah, Air, Transportasi dan Pendidikan, dengan range nilai 1 sd 5, semakin tinggi semakin baik. Nilai IKL dan pemenuhan sarana dan prosedur standar operasional K3L di unit kerja diukur berdasar kuesioner yang diisi oleh unit dan divalidasi oleh tim smart ecocampus dan tim K3L. Pengisian kuesioner IKL dilakukan sekali dalam setahun antara kuartal 2 - 3, dalam rangka untuk mendukung pemeringkatan UI Greenmetric.;Terlaksananya Indeks Kualitas Lingkungan dan K3L lebih dari 2;-;7
76;SUMBANGSIH ;KONTRIBUSI PADA LINGKUNGAN;Terlaksananya toilet bersih lebih dari 80% ;Toilet bersih lebih dari 80% berdasarkan kriteria ketersediaan sarana prasarana, bagaimana kondisinya serta upaya pemeliharaan yang dilakukan serta inovasi kenyamanan toilet yang ada di unit yang memiliki nilai di atas batas standar minimum. Kegiatan ini diukur berdasar kuesioner yang diisi, didokumentasikan oleh unit dan divalidasi oleh tim smart eco-campusJika jumlah toilet bersih yang sesuai standar < 80%, maka capaian kinerja indikator ini adalah 0. Dan jika lebih dari atau sama dengan 80%, capaiannya adalah 1;Terlaksananya toilet bersih lebih dari 80% ;-;7
77;SUMBANGSIH ;KONTRIBUSI PADA LINGKUNGAN;Terlaksananya program 3 R Sampah (Reduce, Reuse, Recycle);Kegiatan yang dilakukan terkait dengan upaya pengurangan sampah, upaya guna ulang dan upaya daur ulang sampah. Pemilahan sampah di sumber/unit berdasar jenisnya yaitu sampah yang bisa didaur ulang kembali, sampah organik yang membusuk, serta sampah residu. Kegiatan ini diukur berdasar kuesioner yang diisi, didokumentasikan oleh unit dan divalidasi oleh tim smart eco-campus.;Terlaksananya program 3 R Sampah (Reduce, Reuse, Recycle);-;6
78;SUMBANGSIH ;KONTRIBUSI PADA MASYARAKAT;Rasio Jumlah kegiatan pengabdian kepada masyarakat yang Diketuai Dosen Lab terkait / Jumlah Dosen;Jumlah judul kegiatan pengabdian masyarakat yang diketuai oleh dosen di laboratorium terkait serta tercatat dalam direktorat Riset dan Pengabdian Masyarakat (DRPM) ITS;Jumlah kegiatan pengabdian kepada masyarakat yang Diketuai Dosen Lab terkait;Jumlah Dosen;7
79;SUMBANGSIH ;KONTRIBUSI PADA MASYARAKAT;Rasio Jumlah Kerjasama dengan Industri yang diketuai Dosen dari Lab terkait / Jumlah Dosen;"Jumlah judul kerjasama yang diketuai oleh dosen dalam laboratorium selama satu tahun yang diperoleh dari kontrak kerjasama dengan industri, pemerintah pusat, pemerintah
daerah, dan sebagainya atas nama ITS dan tercatat dalam Direktorat Kerjasama dan Pengelolaan Usaha (Dir. KPU) ITS.
";Jumlah Kerjasama dengan Industri yang diketuai Dosen dari Lab terkait;Jumlah Dosen;7
80;SUMBANGSIH ;KONTRIBUSI PADA MASYARAKAT;Rasio Nilai Kerjasama dengan Industri dengan kontrak atas nama ITS/ Jumlah Dosen (Rp juta) - kontribusi dihitung proporsional yang ditentukan tim;"Nilai kerjasama adalah Jumlah penghasilan dalam satu tahun yang diperoleh dari kontrak kerjasama dengan industri, pemerintah pusat, pemerintah
daerah, dan sebagainya atas nama ITS dan tercatat dalam Direktorat Kerjasama dan Pengelolaan Usaha (Dir. KPU) ITS.
Dosen yang terlibat diberikan bobot kontribusi oleh ketua tim.";Nilai Kerjasama dengan Industri dengan kontrak atas nama ITS  (Rp juta);Jumlah Dosen;7
81;SUMBANGSIH ;KONTRIBUSI PADA MASYARAKAT;Jumlah mahasiswa yang terlibat dalam pengabdian Dosen;Jumlah mahasiswa yang terlibat dalam kegiatan pengabdian masyarakat yang diketuai oleh dosen di laboratorium terkait serta tercatat dalam direktorat Riset dan Pengabdian Masyarakat (DRPM) ITS;Jumlah mahasiswa yang terlibat dalam pengabdian Dosen;-;3
